user_id,liked_product_ids
AE22ROVSXEBTQR3P74MUNSRFPZZQ,"['B071X4ZX3X', 'B018F4M89S', 'B07FMK2JQ8', 'B018F4M89S', 'B078GWV31Z', 'B00ADR2LV6']"
AE23ZLT2QYU6NIHTBMOG3ZRDSRGQ,"['B077961G2Y', 'B00YTUVIX0', 'B00XN373CO', 'B07RW3HHML', 'B00DM8LL8C']"
AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,"['B01ETXZAXK', 'B01KD8ANOG']"
AE2J7XLQ4H2YREBG3KFJFWJDJWHQ,"['B00AUWTYN2', 'B00A8O03LE', 'B08HMWNX51', 'B09TNJ76CS', 'B08RHH7K7D']"
AE2K3FZD7K4YJLBOCP5PPNJYMAUA,"['B000FNKV60', 'B00L7QVT8S', 'B00BXLUFQ4', 'B0B9H5NZRD', 'B081KSD3BK', 'B081KSD3BK', 'B0763R8L73']"
AE2QHTSNTZM2ZABPPXHN2CV2KX5Q,"['B0BHNSLKNZ', 'B00QHEP4OK', 'B00WA6TGDE', 'B071JQN7WN', 'B07X7HQQH1', 'B08T3WKL3W']"
AE2VLSDJLY3SBCWJ4PIQ7ETQOEJQ,"['B0B7J1ZJPL', 'B09ZPN14QX', 'B0B1M8SBML', 'B0C4SLWLK9', 'B0BC3JS4DY']"
AE2X6OQXH7QRE3X2EEK2R4B2HIIQ,"['B002R0DXMI', 'B079SDHK6N', 'B0C85M2F4G', 'B07Z5NZ65X', 'B07K17RHYC']"
AE3DVUC7AWYQEAKN74I3LLUA5QEA,"['B07MV7BBK3', 'B0114XW80G', 'B00MNI205K', 'B00IKMWQMK']"
AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,"['B07CYNWTXK', 'B077N4CNVJ', 'B018F4H5DM', 'B07K1QJH5P', 'B01N7A5AGF', 'B08QHP717Z', 'B08SQ31H8P', 'B0895XPZNT', 'B08SQXBZ5W', 'B08S3VFJ22', 'B0863FZFPV', 'B09188R9KV', 'B08QZBZG89', 'B086VRRD99', 'B0952KBKHZ', 'B0919R1CYT', 'B0963RH85G', 'B095RWJJB8', 'B097JXPZ6D', 'B08Q8NQMX2', 'B08Z7FQGW3']"
AE3VHF7T7FX6K4EJSO4GCX7UJVAA,"['B00M25QLQS', 'B00AUDAEMQ', 'B088MKLVVN', 'B08BXS2B2C']"
AE3X3OR52JVXEIQUXWVUP5XC5HYQ,"['B00CHQ7ESQ', 'B077N4CNVJ', 'B00JFBLZ90', 'B07HJHK8Y5', 'B00ADR2LV6', 'B07GH6WX29']"
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,"['B08G15JBYN', 'B08L632WH7', 'B08QYW2FJ2', 'B09473GGM4', 'B08RMZXNH8', 'B08RYQXJ88', 'B09758QG59', 'B091DF3MPN']"
AE3XHOX3OBSVFXACAPNFMKSUWR5Q,"['B00JFBLZ90', 'B00U6CGVDM', 'B00JFBLZ90', 'B01IE42XY4', 'B079PMF9VC', 'B018F4M89S', 'B07PTQHSQS', 'B08YN3YD6L', 'B08TB3DZ1D']"
AE4COSQA4TYIPQIX2TK33LRZMCMQ,"['B001DHLGOS', 'B00T89G26A', 'B073VKD8WJ', 'B07CHZZ436', 'B0C3CSMZ6F']"
AE4DOWCWSVFBZH5DZCRLMQKTWK5Q,"['B0BWNCNN7X', 'B00K8FPSSG', 'B00W0US03W', 'B01N3Q726W', 'B07X7HQQH1', 'B01MSBQB1P', 'B088TDCG72']"
AE4IYZGY3ORX25M6C7QQ26XG4Z6Q,"['B017T6CUS2', 'B00GDHVMR4', 'B005ESMEI4', 'BT00CTOUNS', 'B00BXLTKRE', 'B07FKKBFHS', 'B073VBZM8J']"
AE4OG34VWD4QTP6OIX5LPCDQCD6A,"['B07Z5M64HF', 'B07H281V4V', 'B0BPFM7JSG', 'B07R993WM6', 'B083ZX4XWG']"
AE4QO4BZ4S4DD3A2EXHUCIECTYWA,"['B004EBT7YQ', 'B07ZYGG924', 'B010JRV0UM', 'B081KSD3BK', 'B07P3H652K', 'B084J9BZ6J']"
AE4XBKOIAQRUDP7Y7H65ERRDRBFQ,"['B01BKO0BCQ', 'B0BVFV4JD7', 'B075FC597Y', 'B0BCW97VD9']"
AE4XVKKIXLHIS7SXHUT5V76QFTTA,"['B00ADR2LV6', 'B00IX1I3G6', 'B08JVDBXQ4', 'B00BXQIGA6', 'B0719C5P56', 'B00BXLW2AQ']"
AE4XZPWBPOG5RREOBXH7HHTWAWGQ,"['B00UKERBHG', 'B00UKFNOJY', 'B010L3I6QA', 'B01AJUWNMI', 'B013F9YX2I']"
AE4YWZNDJSYO2LFD2CNGAM6P4WXA,"['B00IK9TX4W', 'B00H4F3A88', 'B012YQL5IS', 'B00WWWQ8QO', 'B08JCCD38P']"
AE52GPMH6YF7HQMRWALACH3BBNBQ,"['B01AYRSCYO', 'B07RNJY499', 'B086M9JFX2', 'B08BNNH5PW', 'B0B3DB5HTC']"
AE56IRAS2UYOMTI5XOSCRGXF3A2A,"['B07GZNNWYM', 'B0932WFJ12', 'B0B8M4H11G', 'B082KHQVV8', 'B003BIGD2W']"
AE5FFCXDOJ2U66JTJSBRQA77EP4Q,"['B0719C5P56', 'B018F4M89S', 'B079PMF9VC', 'B07FMK2JQ8', 'B00ADR2LV6', 'B00JFBLZ90']"
AE5GHFQZ6IXM4QNYTLTYJO24KQZQ,"['B00Q4X2FSM', 'B00Q4X2GDQ', 'B01M1OFZOG', 'B08FDB6W59', 'B00ADR2LV6', 'B0B7XGWT5Q']"
AE5H65NAZCT5LBRKFZUAGRF2TMEA,"['B00OOKDO4Q', 'B0B3DB5HTC', 'B015WOKUJ4', 'B0179LQ0VA', 'B017QR4F50', 'B07NS9N17G', 'B081KSD3BK', 'B00IX1I3G6', 'B01FF4ASTS']"
AE5N6SLXJIY2D4KFSF75SQDKUADQ,"['B00BXLSJXA', 'B0BSF6FF2M', 'B0BXRM5JFJ', 'B0C4T6G356']"
AE5PZITMWZJBPVKL7XXYUFBTITQA,"['B0053FA098', 'B003082MKU', 'B01MRUOEVP', 'B07QHWWYR9', 'B00ADR2LV6', 'B00VBP8QPO']"
AE5RBC6A5L74YC7NXEXR7JIXIH6A,"['B077BF9MFJ', 'B077BF9MFJ', 'B004A8E8ME', 'B00E84Q15C', 'B07GT24XPG', 'B07P3Y8JWY', 'B01NBI87QV', 'B00LOVVE9A', 'B09J3MFWWJ', 'B09DD2LZBY']"
AE5VPKX64CVOPH6X75C7EQXAIGLA,"['B0050HH70E', 'B0081EA31S', 'B0BHNSLKNZ', 'BT00CTOUNS', 'B07CMT7WW9', 'B005459K7A', 'B00DM8L5GU', 'B00DM8KAEI', 'B00DM8L18C', 'B00WUWTTC6', 'B07176DGS9', 'B00D7KP8S4', 'B0C7GSPG5Q', 'B07MC5TBNS', 'B01HHFUCMG']"
AE5WO2DIUMOK3VTVSIGLCYLCN46A,"['B078SQJF88', 'B07W1HQQ77', 'B005BA2G8I', 'B0744GRXFK', 'B0028BAAWW', 'B07P8Z39LL', 'B07N57SMSK', 'B00M109HBU', 'B082P6NVKD', 'B0C6SJS8JT', 'B00IC5R3R8', 'B00DM8JA5S', 'B081KSD3BK', 'B07TNZBXKL', 'B01L0NE0C4']"
AE5YK3IEIVLMMAJJFXKSF6OJNJBA,"['B018F4M89S', 'B07193NQ2P', 'B071X4ZX3X', 'B0719C5P56', 'B0BT85F69N', 'B01JQSO2VY', 'B00BXLSJXA']"
AE6AUO3Z6Q5N5VK2JDWGZEGFW4GA,"['B000FEF1V4', 'B000DLB2FI', 'B002C741NG', 'B00CUF29WU', 'B07S7FJF1W', 'B093QHJDH7', 'B08W8LKLHB', 'B08MF778D7', 'B095RYJJHY']"
AE6PIIY7MY6OQJKTMSFRVKTXO36Q,"['B001LY7FRK', 'B06Y4YB2H1', 'B092T5Y46X', 'B081L93TMK', 'B08DJB4CF3']"
AE6PWX5NPM3P5D4ITOE7TU3RDZGQ,"['B00MM1R0MQ', 'B0BCRGFXH7', 'B07PS35NG8', 'B0C5FGKFBZ', 'B07SM1PGJW']"
AE6U2ZCGCBRDU3TT3PVH44ITRLOA,"['B00BXLW2AQ', 'B00GRLUECA', 'B00GOLGUVC', 'B00ELQD4J8', 'B00FTGTIOE', 'B00BXLSW14', 'B00O3YJMS0', 'B00O4I4Y3S', 'B00LHZC4GA', 'B00DNAGRVA', 'B00PG84P66', 'B00PG4F758', 'B00O4I5S7O', 'B06XBP819W', 'B07DXG9LDT', 'B07F3C1QG4']"
AE6VILPJGYTNMUZJCTFQPDPOPIGQ,"['B00WA6TGDE', 'B0BLLHNY92', 'B0C65CKXKK', 'B0BQCCS7GM', 'B08LVTKWLZ']"
AE6YIYEDUPFPA4UDA3UBYVX26LMQ,"['B00LGUGGNI', 'B00MOCDDZQ', 'B00MOCCE3S', 'B008YDSLTW']"
AE7AOTPDRUMOK5VACY3SUNFQ4VIQ,"['B017H4L5BE', 'B01L8WT5BS', 'B00V5CDD9C', 'B00IU6VSWU', 'B07NSP9QZ8']"
AE7FNYI3CVRSKX6WNCMTM3LBRSVA,"['B073ZPMS97', 'B084KPYQ5V', 'B074HLRXMP', 'B0BP5ZB1XK', 'B0BFPSLW3L', 'B0B7RZ6JBL']"
AE7L6TFFDGW4ABGV4TQ4ZBOABXTQ,"['B00LME5SV4', 'B01KT54URY', 'B01G45HX18', 'B0007V9API', 'B07DY9JY3K', 'B01N4X4JWP', 'B00545AQSW']"
AE7YYSYFEWAYIUCAK4W33CHPP4JQ,"['B0BTD1MY9W', 'B08F4ZDVZQ', 'B01EUR8IPW', 'B0BWHKFM44', 'B00XXZZCCU', 'B08DJ1BMHX', 'B08LG88SWS', 'B091TK8WYG', 'B09NVTMT24', 'B09YLYYHZN', 'B0BCMWMS4M', 'B09QC9947J']"
AEA45B3KT25O2RMY76VRW2D67AXA,"['B01KFENEXK', 'B01GC0DIMS', 'B01N2VTZCC', 'B001DPM0I6', 'B0C94VM8NS']"
