user_id,avg_rating,review_count,avg_review_length,sample_reviews,persona
AE22ROVSXEBTQR3P74MUNSRFPZZQ,5.0,6,58.666666666666664,Excellent gift for any occasion. Perfect gift! And so cute the santa card holder is! Cute little gift bag! I would recommend this product. Gift card holder for any occasion cute and classy. It was a cute added addition to the gift I attached it to. They liked it.,"User is a generally positive customer and a short-form reviewer.
Average rating given: 5.0
Total reviews: 6
Example behavior:
Excellent gift for any occasion. Perfect gift! And so cute the santa card holder is! Cute little gift bag! I would recommend this product. Gift card holder for any occasion cute and classy. It was a cute added addition to the gift I attached it to. They liked it."
AE23ZLT2QYU6NIHTBMOG3ZRDSRGQ,5.0,5,172.0,Perfect replacement for our Affinity. Easy to install. Love that it comes with two. Seems sturdy and we haven’t used both but should it ever break we will already have a back up. Got this for a replacement piece on our Frigidaire Infinity front loading washer.  It was really hard to find black. It went on easily and now our door is fixed and we can get a few more years out of it. Needed this for replacing our front loading Frigidaire Infinity washer door. It went on easily and now the door is fixed and we can get a few more years out of it. This is the exact part we needed for our Frigidaire Infinity front loading Washer. We were able to easily install we found a video on YouTube but it wasn’t necessary really. Now we can get a few more years out of it. Got this to replace on an Frigidaire front loader. Super easy to pop in. Fit perfect and great price,"User is a generally positive customer and a short-form reviewer.
Average rating given: 5.0
Total reviews: 5
Example behavior:
Perfect replacement for our Affinity. Easy to install. Love that it comes with two. Seems sturdy and we haven’t used both but should it ever break we will already have a back up. Got this for a replacement piece on our Frigidaire Infinity front loading washer.  It was really hard to find black. It w"
AE2AXZS54WKE3J5ZXA3NZSPUNV3Q,3.2857142857142856,7,106.42857142857143,"I absolutely LOVE the colors and designs. My ONLY con is the band is so damn tight I had to push it back past my edges and stretch it out a few times in order for it not to be so tight, and even then it’s still tight. But the colors are cute😩 I only like the jelly material & the color. It took FOREVEEER to get here. An it is small :( MEH!!! I looooove this perfume!! I originally found this at 5 below and was soooo happy amazon had a bigger bottle! Love Love Love I was sort of disappointed in the size!! It’s really small. I’ve had better wigs from Amazon!! Way to fake looking! The part was so horrible","User is a balanced customer and a short-form reviewer.
Average rating given: 3.3
Total reviews: 7
Example behavior:
I absolutely LOVE the colors and designs. My ONLY con is the band is so damn tight I had to push it back past my edges and stretch it out a few times in order for it not to be so tight, and even then it’s still tight. But the colors are cute😩 I only like the jelly material & the color. It took FOREV"
AE2J7XLQ4H2YREBG3KFJFWJDJWHQ,4.8,5,650.2,"I had an ozone system (not from O3 Pure) that was great for a year but then stopped working correctly. It was sent in for repair several times but still didn't work right. Also during that time I bought a new HE washer. I think one issue was that the design worked with older washers (non-HE and HE models according to the company) but not the newest HE washers that use even less water. Instead of sending it in for repair yet again, I purchased this model. The first thing I noticed is even with my very miserly Samsung top load HE washer it infuses the water with enough ozone to produce that fresh rain smell and get the clothes clean. You still need to pre-treat stains and I use detergent on occasion, but for most loads I do not add anything. One item to note, the old machine had a magnetic water softener built in. My water is not too hard but is not soft either. The clothes were okay but items like bath towels and washcloths were a bit stiff. I corrected the issue by installing a magnet set on the water line.<br /><br />So far I am very happy with the unit. The laundry comes out clean and my septic system is probably better off without all that detergent. Cost wise, I think I at least broke even with the old unit considering the cost of detergent and propane (hot water tank). There have been a number of improvements made since my prior purchase so I am hoping this one lasts longer. Bought and installed this for a coworker. His machine wouldn't stay lock. This fixed that. Unfortunately a more expensive part broke soon after so he decided to get a new machine so I won't be able to comment on longevity.. The one that came with the machine lasted 7 years. The two parts were slightly different, mainly the new one had a smaller body resulting in the use of less plastic. The actual mechanism looked the same. Bought these for my LG LRFDS3016S fridge. I was very careful to buy filters with the exact same locking tab design as the original filter after seeing a lot of negative reviews on Amazon about incompatibility. Two different designs are being sold by various sellers using the same part number. Maybe they are supposed to be cross compatible but the reviews say otherwise. The filter that came with my fridge had the full trapezoid shaped tabs, not the ones with a U shaped cutout. I had no problem installing the filter and no leaks. I think the water tastes better than with the LG branded filter. It's now comparable to what came out of our previous fridge. These are also much cheaper but meet the same NSF standards. They do cost more than other generic filters that are only NSF42 and 372 certified (these are also 53 and 401) but I thought it was worth the small difference. Looks like the original filter but without the ridiculous price. Many other generic filters use different layers than what LG supplied. I don't know if one is better than the other but I'd rather stick to what LG uses just in case. I knocked off one star because the middle layer (the one with the holes) had a small tear in each of the filters. All of the material was there, just not one continuous sheet all the way across. Looks exactly like what comes from Samsung, hopefully it will last longer. Easy to install and no more leaky valves.","User is a generally positive customer and a detailed reviewer.
Average rating given: 4.8
Total reviews: 5
Example behavior:
I had an ozone system (not from O3 Pure) that was great for a year but then stopped working correctly. It was sent in for repair several times but still didn't work right. Also during that time I bought a new HE washer. I think one issue was that the design worked with older washers (non-HE and HE m"
AE2K3FZD7K4YJLBOCP5PPNJYMAUA,4.5,8,224.5,"I ordered 2 sets of drip pans.  One set was complete as described..other set was lacking 1 large pan and had 3 small ones. I made do but the seller sent a refund for the one set without me asking for it. Now this is a good seller and I will do business with them again and the drip pans are great and even better than the ones that came with the stove.<br />Amazon keep this seller.  Good to do business with.<br />Jpkantqs@aol.com with the help of a Schwans delivery man , Chris, he helped do the unpacking and that was something that the Fed X person was supposed to do with the box marked Team Lift..Seems a shame that I can't say don't ship my things by Fed X. This is 5 weeks in a row I have had problems. Glad there is UPS cause they do try and go the extra mile.  Love this great freezer. cooled right away and great looking addition to my little kitchen.<br />Thanks to Amazon for their splendid help and then my delivery guy and I kept the freezer.  Love Love Love it. got this mat before the freezer and the mat doesn't fit. I can't trim it as the directions say not to so this is a total loss to me. Sorry I hate to defrost Gift for a young lady and this is so easy. I can't believe what a difference they make.  Besides keeping the crumbs and etc. out of the drip pans These give<br />a great look to the stove.  Just love them","User is a generally positive customer and a short-form reviewer.
Average rating given: 4.5
Total reviews: 8
Example behavior:
I ordered 2 sets of drip pans.  One set was complete as described..other set was lacking 1 large pan and had 3 small ones. I made do but the seller sent a refund for the one set without me asking for it. Now this is a good seller and I will do business with them again and the drip pans are great and"
AE2QHTSNTZM2ZABPPXHN2CV2KX5Q,4.833333333333333,6,150.5,"I bought several 4 cup coffee makers to give to my coworkers and kept two for myself. I purchased the Cuisinart GTF-4 Gold Tone coffee filters to save money. We recently bought a new stove so we did not want the burner area caked with solid grease. The filters at times collapse during the brew cycle. However, I have not found a coffee filter that doesn't do this. They work well for our coffee maker. I recently read that coffee grounds should not be put in the sink drain so I purchased the paper disposable coffee filters. I have gone through several of these coffee filters and had no problems.","User is a generally positive customer and a short-form reviewer.
Average rating given: 4.8
Total reviews: 6
Example behavior:
I bought several 4 cup coffee makers to give to my coworkers and kept two for myself. I purchased the Cuisinart GTF-4 Gold Tone coffee filters to save money. We recently bought a new stove so we did not want the burner area caked with solid grease. The filters at times collapse during the brew cycle"
AE2VLSDJLY3SBCWJ4PIQ7ETQOEJQ,5.0,5,127.4,"[[VIDEOID:d299dd05005f0dcb2e81ca7c66e0f109]] Excellent ice maker! Makes the ice very quickly and I think it's fairly quiet. It drops the ice a lot more quietly than a built in ice maker in a fridge/freezer. Fits my Whirlpool side by side fridge perfectly! [[VIDEOID:3396eaae81b5e0ac18c104bf8c1c08ab]] This is a lovely gentle cleanser with a light, clean scent. Did not irritate my sensitive skin. These Fettorler refrigerator drip tray can be trimmed for a custom fit. They are ver absorbent and a great value. This Nayira frothing pitcher is excellent quality. The markings inside are clear and easy to read. This is very easy to clean too.","User is a generally positive customer and a short-form reviewer.
Average rating given: 5.0
Total reviews: 5
Example behavior:
[[VIDEOID:d299dd05005f0dcb2e81ca7c66e0f109]] Excellent ice maker! Makes the ice very quickly and I think it's fairly quiet. It drops the ice a lot more quietly than a built in ice maker in a fridge/freezer. Fits my Whirlpool side by side fridge perfectly! [[VIDEOID:3396eaae81b5e0ac18c104bf8c1c08ab]]"
AE2X6OQXH7QRE3X2EEK2R4B2HIIQ,4.8,5,69.4,"Worked, but harder to get on than old one. Replaced non-metal vent pipe. Getting the old one out was a little challenging because it was hard to get good grip on it, but the new one went in without a problem. My hands have some arthritis. 😕 Perfect fit for Samsung refrigerator I bought these as a gift. Work perfectly with ice maker and water supply.","User is a generally positive customer and a short-form reviewer.
Average rating given: 4.8
Total reviews: 5
Example behavior:
Worked, but harder to get on than old one. Replaced non-metal vent pipe. Getting the old one out was a little challenging because it was hard to get good grip on it, but the new one went in without a problem. My hands have some arthritis. 😕 Perfect fit for Samsung refrigerator I bought these as a gi"
AE3DVUC7AWYQEAKN74I3LLUA5QEA,4.2,5,319.2,"I purchased these to use after my cold brew coffee is done. My cold brew coffee system leaves a bit of coffee &#34;silt&#34; after brewing. These filters catch about 80% of the silt, so they work, just not as well as I had hoped.  They are flannel - just like what you'd expect.  I think they will work for other things that need a fine filter, so overall, I'm happy with this purchase.  Since they're cotton, they do stain even after you wash them, but that's to be expected with a flannel product. Great for pour over coffee.  It does leave a little coffee sludge/silt in the cup, but it's not horrible. I just don't drink the last teaspoon of coffee in the cup and it's fine. I love that it replaces paper filters and it's metal, so we take it camping without risk of it breaking. This container is much bigger than I expected.  It's twice as big as I need and is way too big to carry in a purse or to travel with. I was hoping that it was the size closer to the Bare Mineral average size, but it's twice as big. It also doesn't have any inner lid to keep the powder from being dispensed, so you wouldn't want to travel with it anyway. I love this pour over coffee maker.  It's perfect or one cup of coffee.  You do get a little sediment in the bottom, but if you pour it slowly into your cup most of the sediment stays in the bowl of the coffee maker. We love this fan for our cab-over camper.  My only complaint is that it's a little louder than I'd like (lots of white noise), but it moves air nicely (in both directions).  It was a breeze for my husband to install it so that's a plus as well.","User is a generally positive customer and a detailed reviewer.
Average rating given: 4.2
Total reviews: 5
Example behavior:
I purchased these to use after my cold brew coffee is done. My cold brew coffee system leaves a bit of coffee &#34;silt&#34; after brewing. These filters catch about 80% of the silt, so they work, just not as well as I had hoped.  They are flannel - just like what you'd expect.  I think they will wo"
AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,4.24,25,359.92,"Easy to cut and fit between oven and counter. I haven’t washed them in the dishwasher yet but wash by hand. They did come bent in half however it does eventually unbend to lay flat. This is the perfect gift for anyone you have a hard time buying for. We got this for my father in law who is the hardest person I’ve ever shopped for before. He loves ebooks so this was a great gift! It came quickly and in a very nice box. Very presentable! Very cute way to present a gift card and you don’t have to pay extra! This product is tacky so it has a good hold if that is what you are looking for. The scent is “manly” with a slight smell of cedar with a slight shine. Overall, this product isn’t horrible compared to others on the market. It is paraben-free, sulfate-free, EU Allergen free and uses minimal ingredients however it also contains alcohol, silicone and is not safe for fungal acne.  After running this product through a cosmetic ingredient safety checker, it scored an 88% one the EWG Health Rating.  Most popular, name-brand face lotions are around 65%-80% on the EWG Health Rating. I use the EWG (Environment Working Group) as a reference when checking products and try to stay away from the alarmist side. Only 8% of this product is considered “moderate risk” mainly polyarylamide, Fragrance (unnecessary additive; possible allergy) , alcohol denat. (Bad for dry skin, bad for sensitive skin, potentially block pores) and BHT (also found in edibles, rubber products and is banned in UK and EU due to limited research showing BHT is linked to cancer). This product is good for brightening, anti-aging and promotes wound healing.  It also contains steric acid which can potentially block pores.<br /><br />Keep in mind, everyone’s skin is different and what effects one person may not effect another. Learn your skin and what products work best for you. Personally, I would stay away from this product if you have very dry skin and/or sensitive skin. I have “normal” skin (no sensitivities, not overly dry or oily, limited acne, no allergies) and didn’t have any issues with this product so far. It has a light scent that isn’t overpowering but completely unnecessary (I HATE fragrance in beauty products; stick with essential oils). It absorbed nicely and didn’t leave my face feeling oily. I am giving this product 4 stars as of February 21, 2021 due to the minimal ingredients and will update this review once a larger amount of time has passed to fully understand how to works with my skin.","User is a generally positive customer and a detailed reviewer.
Average rating given: 4.2
Total reviews: 25
Example behavior:
Easy to cut and fit between oven and counter. I haven’t washed them in the dishwasher yet but wash by hand. They did come bent in half however it does eventually unbend to lay flat. This is the perfect gift for anyone you have a hard time buying for. We got this for my father in law who is the harde"
